mode,model,days,pr_auc_mean,lift_mean,lift_min,p10_mean,pnl10_sum,pnl_ex3_sum,positives,last_day
age,xgb_holders,3,0.2555253511085867,3.6830708926224465,3.473681419954855,0.21523912595341166,-6.934361432000002,-12.601062275,175,2026-09-04
age,xgb_all+wallets,3,0.252745783120478,3.6246569700150197,3.4340993470869257,0.242044166151309,-2.7170412619999995,-7.815266253999999,175,2026-09-04
age,xgb_holders+wallets,3,0.2424532677190261,3.5562055803479296,3.001697333757825,0.24525870954442383,-3.1332009140000014,-8.908008339000002,175,2026-09-04
age,xgb_botlive,2,0.21034457318681227,3.541390718733176,3.0164815221456958,0.18494897959183673,-4.885496971000002,-8.218517608000003,113,2026-09-04
age,ensemble:xgb_holders+cnn_trades+side,2,0.27286125244739573,3.4803985602787253,3.0721584621429283,0.26793444650587506,-3.5532701910000015,-7.579939693000002,159,2026-09-03
age,ensemble:xgb_botlive+context+cnn_trades+side+pre+xgb_all+wallets,2,0.2010130086051065,3.396373871078972,2.9870560331352545,0.18494897959183673,-6.995417381000002,-10.441051103000001,113,2026-09-04
age,xgb_botlive+context,2,0.19995734219395392,3.3862589451533505,3.0380426903206885,0.20397534013605442,-4.85665272,-8.234518943,113,2026-09-04
age,xgb_all,3,0.24304436498864043,3.3744293583221148,2.642782753705192,0.24029195011337867,-2.5613928580000014,-7.659617850000002,175,2026-09-04
age,cnn_trades+side+pre,3,0.2358373759634237,3.3706075563320526,3.300020454690578,0.20533781694495978,-7.035894546999999,-12.638596186,175,2026-09-04
age,xgb_shape+holders,3,0.2431021244476539,3.3591929746225113,2.5327686677445937,0.2222415481344053,-4.199925223000001,-9.23199697,175,2026-09-04
age,xgb_shape,3,0.22020416578489188,3.106313806009188,2.544668638909962,0.22121083281797568,-2.259171071,-7.242660996,175,2026-09-04
age,cnn_trades+side,3,0.217762595496326,3.088961832861886,2.6243677201486797,0.21420841063698207,-5.030311610000001,-10.510816105,175,2026-09-04
age,cnn_trades,4,0.2378652569808347,3.08771920597001,2.6316885545691244,0.2471223716759431,-4.437263203000001,-11.832604396,252,2026-09-04
age,logistic_repo_recipe,3,0.19874877367918908,2.8298704941224297,2.7899790724480282,0.22318851783137497,-6.628113067000002,-12.057704286000002,175,2026-09-04
age,xgb_pnl:all+wallets,2,0.15776908696827563,2.6506058996264317,2.2140185053188883,0.15029761904761904,-5.616541892,-8.372155481,113,2026-09-04
age,xgb_pnl:botlive+context,2,0.1460431697431261,2.4824651317087296,2.2986616126144805,0.1747448979591837,-4.304963468,-7.66053728,113,2026-09-04
age,xgb_wallets,3,0.1463708380900043,2.096672229438587,1.8081181971197946,0.15132833436404866,-4.674099964,-9.658980972999998,175,2026-09-04
age,xgb_context,3,0.08601359454950086,1.2309625005380815,1.0256573232537496,0.060097144918573486,-15.041012021999999,-18.89484018,175,2026-09-04
cross,ensemble:xgb_botlive+context+cnn_trades+side+pre+xgb_all+wallets,2,0.33786498434730217,1.8872247281214203,1.8588439963534351,0.3669609079445145,7.362999289999999,3.5774521959999985,133,2026-09-04
cross,cnn_trades+side,3,0.32384594289585034,1.765285796435976,1.5277523279230152,0.38517584419223766,18.094221177,2.321941056999999,191,2026-09-04
cross,cnn_trades+side+pre,3,0.3215533081830187,1.7579715453824203,1.3309252571832337,0.3682359534818551,18.199644397999997,2.7464517969999984,191,2026-09-04
cross,cnn_trades,3,0.29927124509626707,1.6285117609233402,1.4889502480103478,0.31750035028723556,13.793718888999997,-1.3959994460000018,191,2026-09-04
cross,ensemble:xgb_holders+cnn_trades+side,2,0.3023746149376924,1.6173821049311028,1.5670746496576144,0.4131147540983606,20.272870732,6.067424260999999,168,2026-09-03
cross,xgb_all+wallets,3,0.28918250132515166,1.5522002467161464,1.32144424297594,0.3066721808657293,15.436517106000002,-0.27424203399999936,194,2026-09-04
cross,xgb_all,3,0.2722090818359348,1.4632980934948066,1.3246220702741103,0.3054314860766474,11.979792528,-3.823903328,194,2026-09-04
cross,xgb_botlive+context,2,0.26048380034985036,1.4415430170223233,1.4287573403204683,0.3616625310173697,3.6231403119999994,0.08629136999999965,136,2026-09-04
cross,xgb_holders+wallets,3,0.26500471393238545,1.4278424983776452,1.3034735320984805,0.2525503170664461,-1.164664316,-6.760420712,194,2026-09-04
cross,xgb_shape+holders,3,0.26544289099648616,1.4244806740576539,1.18276355422015,0.23961952026468158,9.050299868000003,-5.363396346999998,194,2026-09-04
cross,xgb_botlive,2,0.2531718838430391,1.4023232958985024,1.2970977130744363,0.26054590570719605,0.06263632199999958,-3.3533435170000003,136,2026-09-04
cross,xgb_shape,3,0.2608016893863081,1.4006185990641071,1.2045578367236376,0.2817480011028398,11.647061605,-3.1208827770000016,194,2026-09-04
cross,cnn_botlive+side,1,0.2569223263166318,1.3636646550651996,1.3636646550651996,0.21428571428571427,-0.7288452369999999,-2.31590192,26,2026-09-04
cross,xgb_pnl:botlive+context,2,0.23866712453475036,1.3221506739437998,1.210322430870059,0.28287841191067,0.6898840559999999,-2.7953020719999997,136,2026-09-04
cross,xgb_holders,3,0.2380123767493775,1.2814583816167178,1.2151765548838538,0.21850013785497654,6.744470599000001,-8.561811065,194,2026-09-04
cross,xgb_pnl:all+wallets,2,0.23129870272315833,1.27925769068689,1.2330658616500132,0.15136476426799006,1.6684214789999994,-0.7770879040000007,136,2026-09-04
cross,logistic_repo_recipe,3,0.23276404574285406,1.2520057609085835,1.1678133340601147,0.22619244554728427,-1.781555713,-6.405672991,194,2026-09-04
cross,xgb_wallets,3,0.23284849007088457,1.2515635141360997,1.038133967057205,0.3092087124345189,12.569867176999999,-2.4334667560000027,194,2026-09-04
cross,xgb_context,3,0.20096526762722652,1.0787991934604648,0.9198992185460463,0.17366969947615107,-4.279689348,-8.523149565,194,2026-09-04
